SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2025-11-02,34,2025-11-02T16:30:00Z,2025-11-03T17:14:38Z,105.000000000000000000,105.000000000000000000,False,P,0.000000000000000000,32.624453926945093940,0.00,0.00,,,2591.445489601548160863,-2559.045006289682532952,0.000000000000000000,0.684000000000000052,2590.445489601548160863,-2559.045006289682532952,,0.684000000000000052
2025-11-02,35,2025-11-02T17:00:00Z,2025-11-03T17:44:29Z,105.000000000000000000,105.000000000000000000,False,P,0.000000000000000000,162.838940606153812496,0.00,0.00,,,2466.516086856153833651,-2360.072555563585410709,0.000000000000000000,56.743000000000002103,2465.516086856153833651,-2360.072555563585410709,,56.743000000000002103
2025-11-02,36,2025-11-02T17:30:00Z,2025-11-03T18:14:43Z,109.000000000000000000,109.000000000000000000,False,P,0.000000000000000000,221.238276043564042084,0.00,0.00,,,2612.111268404675229249,-2445.625322222222166602,0.000000000000000000,54.606999999999999318,2611.111268404675229249,-2445.625322222222166602,,54.606999999999999318
2025-11-02,37,2025-11-02T18:00:00Z,2025-11-03T18:44:34Z,109.000000000000000000,109.000000000000000000,False,P,0.000000000000000000,177.043447624591493650,0.00,0.00,,,2418.080976235702564736,-2240.708717343842636183,0.000000000000000000,0.000000000000000000,2417.080976235702564736,-2240.708717343842636183,,
2025-11-02,38,2025-11-02T18:30:00Z,2025-11-03T19:14:40Z,109.000000000000000000,109.000000000000000000,False,P,0.000000000000000000,58.185453166610969333,0.00,0.00,,,2273.632619219275966316,-2215.046138115869780449,0.000000000000000000,0.000000000000000000,2272.632619219275966316,-2215.046138115869780449,,
2025-11-02,39,2025-11-02T19:00:00Z,2025-11-03T19:45:03Z,109.000000000000000000,109.000000000000000000,False,P,0.000000000000000000,377.094211605693317324,0.00,0.00,,,2428.252318241495686379,-2065.166703858024902729,0.000000000000000000,14.067000000000000171,2427.252318241495686379,-2065.166703858024902729,,14.067000000000000171
2025-11-02,40,2025-11-02T19:30:00Z,2025-11-03T20:14:45Z,85.540000000000006253,85.540000000000006253,False,N,0.000000000000000000,-145.223496836635575846,0.00,0.00,85.540000000000006253,0.000000000000000000,1862.193169830031138190,-2007.108695072072123367,0.000000000000000000,0.000000000000000000,1862.193169830031138190,-2006.108695072072123367,,
2025-11-02,41,2025-11-02T20:00:00Z,2025-11-03T20:44:38Z,43.359999999999999432,43.359999999999999432,False,N,0.000000000000000000,-69.224163611111109162,0.00,0.00,,,2013.025833333333366681,-2070.300830277778004529,-11.439999999999999503,0.000000000000000000,2013.025833333333366681,-2069.300830277778004529,-11.439999999999999503,
2025-11-02,42,2025-11-02T20:30:00Z,2025-11-03T21:14:46Z,98.900000000000005684,98.900000000000005684,False,P,0.000000000000000000,107.991666666666660035,0.00,0.00,,,1997.775000000000090949,-1878.513333333333321207,-11.439999999999999503,0.000000000000000000,1996.775000000000090949,-1878.513333333333321207,-11.439999999999999503,
2025-11-02,43,2025-11-02T21:00:00Z,2025-11-03T21:44:34Z,96.900000000000005684,96.900000000000005684,False,P,0.000000000000000000,147.779161111111108085,0.00,0.00,,,1975.883327777777822121,-1816.772500000000036380,-11.439999999999999503,0.000000000000000000,1974.883327777777822121,-1816.772500000000036380,-11.439999999999999503,
2025-11-02,44,2025-11-02T21:30:00Z,2025-11-03T22:14:38Z,89.000000000000000000,89.000000000000000000,False,P,0.000000000000000000,11.273219750000000872,0.00,0.00,,,1706.779891666666571837,-1684.550725000000056752,-11.439999999999999503,0.000000000000000000,1705.779891666666571837,-1684.550725000000056752,-11.439999999999999503,
2025-11-02,45,2025-11-02T22:00:00Z,2025-11-03T22:44:54Z,90.000000000000000000,90.000000000000000000,False,P,0.000000000000000000,398.799409440267311311,0.00,0.00,,,2028.656076106934051495,-1618.416666666666742458,-11.439999999999999503,0.000000000000000000,2027.656076106934051495,-1618.416666666666742458,-11.439999999999999503,
2025-11-02,46,2025-11-02T22:30:00Z,2025-11-03T23:14:40Z,89.500000000000000000,89.500000000000000000,False,P,0.000000000000000000,315.282166301169581857,0.00,0.00,,,1911.674388523391826311,-1585.217473318713473418,-11.439999999999999503,0.000000000000000000,1910.674388523391826311,-1585.217473318713473418,-11.439999999999999503,
2025-11-02,47,2025-11-02T23:00:00Z,2025-11-03T23:44:33Z,78.272167770079590809,78.272167770079590809,False,P,0.000000000000000000,25.931083472222223207,0.00,0.00,,,1695.470829861111042192,-1657.609722222222217169,-11.439999999999999503,0.000000000000000000,1694.470829861111042192,-1657.609722222222217169,-11.439999999999999503,
2025-11-02,48,2025-11-02T23:30:00Z,2025-11-04T00:14:32Z,41.000000000000000000,41.000000000000000000,False,N,0.000000000000000000,-140.549752807771028529,0.00,0.00,41.000000000000000000,1.000000000000000000,1589.708333341950265094,-1718.818086141104458875,-11.439999999999999503,0.000000000000000000,1589.708333341950265094,-1717.818086141104458875,-11.439999999999999503,
2025-11-03,1,2025-11-03T00:00:00Z,2025-11-04T00:44:45Z,41.000000000000000000,41.000000000000000000,False,N,0.000000000000000000,-91.462688445286190131,0.00,0.00,,,1828.354106562060451324,-1909.101041084174994467,-11.439999999999999503,0.000000000000000000,1828.354106562060451324,-1908.101041084174994467,-11.439999999999999503,
2025-11-03,2,2025-11-03T00:30:00Z,2025-11-04T01:14:33Z,41.000000000000000000,41.000000000000000000,False,N,0.000000000000000000,-93.978409532923308234,0.00,0.00,,,1808.001200319401732486,-1891.244902378191909520,-11.439999999999999503,0.000000000000000000,1808.001200319401732486,-1890.244902378191909520,-11.439999999999999503,
2025-11-03,3,2025-11-03T01:00:00Z,2025-11-04T01:44:47Z,11.140000000000000568,11.140000000000000568,False,N,0.000000000000000000,-104.252148783050884617,0.00,0.00,11.140000000000000568,1.000000000000000000,1682.648301361324911340,-1886.203710911900998326,-11.439999999999999503,111.319999999999993179,1682.648301361324911340,-1885.203710911900998326,-11.439999999999999503,111.319999999999993179
2025-11-03,4,2025-11-03T01:30:00Z,2025-11-04T02:15:20Z,59.350000000000001421,59.350000000000001421,False,P,0.000000000000000000,61.082020836677934028,0.00,0.00,,,1784.203049190339015695,-1873.968330968877580744,-11.439999999999999503,162.000000000000000000,1783.203049190339015695,-1873.968330968877580744,-11.439999999999999503,162.000000000000000000
2025-11-03,5,2025-11-03T02:00:00Z,2025-11-04T02:44:55Z,89.000000000000000000,89.000000000000000000,False,P,0.000000000000000000,191.078885972222224154,0.00,0.00,,,1917.712366805555575411,-1862.648480833333223927,-11.439999999999999503,147.180000000000006821,1916.712366805555575411,-1862.648480833333223927,-11.439999999999999503,147.180000000000006821
2025-11-03,6,2025-11-03T02:30:00Z,2025-11-04T03:14:29Z,27.000000000000000000,27.000000000000000000,False,N,0.000000000000000000,-15.407379861111111907,0.00,0.00,,,1786.114331250000077489,-1878.836553055555668834,-11.439999999999999503,88.600999999999999091,1786.114331250000077489,-1877.836553055555668834,-11.439999999999999503,88.600999999999999091
