settlementDate,ssp,sbp,price,NIV,NIV_lag1,NIV_roll7
2025-05-26,28.648763029366293,28.648763029366293,28.648763029366293,-9477.446258119813,-5538.929735090246,-4357.9162063448075
2025-05-27,71.7780136898932,71.7780136898932,71.7780136898932,-901.7796416094247,-9477.446258119813,-4296.710469741099
2025-05-28,89.63741313274106,89.63741313274106,89.63741313274106,2114.8698084387142,-901.7796416094247,-3671.0122252365686
2025-05-29,34.629763841800646,34.629763841800646,34.629763841800646,-17376.12372549526,2114.8698084387142,-6890.661611658309
2025-05-30,71.08707348949036,71.08707348949036,71.08707348949036,1775.1081966680038,-17376.12372549526,-5637.025804086008
2025-05-31,57.071284259340736,57.071284259340736,57.071284259340736,-4703.973520548901,1775.1081966680038,-4872.610696536703
2025-06-01,27.044757370444618,27.044757370444618,27.044757370444618,-11531.773099049902,-4703.973520548901,-5728.731177102369
2025-06-02,62.88279980485256,62.88279980485256,62.88279980485256,-5755.6666899556685,-11531.773099049902,-5197.048381650347
2025-06-03,0.400293148994159,0.400293148994159,0.400293148994159,-23283.654005640645,-5755.6666899556685,-8394.45900508338
2025-06-04,34.662319960243416,34.662319960243416,34.662319960243416,-11817.101267675334,-23283.654005640645,-10384.740587385386
2025-06-05,89.73641448006089,89.73641448006089,89.73641448006089,6337.427898190203,-11817.101267675334,-6997.09035543032
2025-06-06,91.34117137308162,91.34117137308162,91.34117137308162,7740.178267685441,6337.427898190203,-6144.937488142115
2025-06-07,105.94104132158627,105.94104132158627,105.94104132158627,8594.070119642647,7740.178267685441,-4245.216968114751
2025-06-08,41.27121950087619,41.27121950087619,41.27121950087619,-3935.7514677619088,8594.070119642647,-3160.0710207878947
2025-06-09,85.16652264322089,85.16652264322089,85.16652264322089,1475.4963437568363,-3935.7514677619088,-2127.047730257537
2025-06-10,48.75791926124458,48.75791926124458,48.75791926124458,-9058.620603854215,1475.4963437568363,-94.90010143090383
2025-06-11,90.01379320395411,90.01379320395411,90.01379320395411,4682.735648482358,-9058.620603854215,2262.219458020195
2025-06-12,81.8887896037652,81.8887896037652,81.8887896037652,5420.4093483211,4682.735648482358,2131.2168080388947
2025-06-13,79.14232803786119,79.14232803786119,79.14232803786119,4294.641055164035,5420.4093483211,1638.9972062501222
2025-06-14,77.4004388405465,77.4004388405465,77.4004388405465,5856.522370497235,4294.641055164035,1247.9189563722061
2025-06-15,61.158176956995284,61.158176956995284,61.158176956995284,-3254.4155521546522,5856.522370497235,1345.2526586018143
2025-06-16,82.88306450082068,82.88306450082068,82.88306450082068,2673.0662528902208,-3254.4155521546522,1516.334074192298
2025-06-17,75.57878352553132,75.57878352553132,75.57878352553132,-1561.4338260752454,2673.0662528902208,2587.360756732151
2025-06-18,116.03451693847437,116.03451693847437,116.03451693847437,13661.982772717856,-1561.4338260752454,3870.1103459086507
2025-06-19,110.3452418786198,110.3452418786198,110.3452418786198,4402.195946111926,13661.982772717856,3724.6512884501967
2025-06-20,105.52847544002883,105.52847544002883,105.52847544002883,3588.5266917617973,4402.195946111926,3623.7778079641625
2025-06-21,94.36639536999724,94.36639536999724,94.36639536999724,6713.614454393174,3588.5266917617973,3746.219534235011
2025-06-22,16.522573691758563,16.522573691758563,16.522573691758563,-21209.98772678747,6713.614454393174,1181.1377950017518
2025-06-23,37.10472076276961,37.10472076276961,37.10472076276961,-6798.676993879575,-21209.98772678747,-171.96838310821906
2025-06-24,73.61174485453245,73.61174485453245,73.61174485453245,1942.326463471883,-6798.676993879575,328.56880111279924
2025-06-25,98.32721519173897,98.32721519173897,98.32721519173897,1580.1802320164602,1942.326463471883,-1397.4029904159713
2025-06-26,49.088077395407026,49.088077395407026,49.088077395407026,-13873.435028537344,1580.1802320164602,-4008.2074153658673
2025-06-27,52.924813264683,52.924813264683,52.924813264683,-1789.4365524596003,-13873.435028537344,-4776.487878826067
2025-06-28,1.4414044503894685,1.4414044503894685,1.4414044503894685,-20812.409624963126,-1789.4365524596003,-8708.777033019824
2025-06-29,65.41724767140765,65.41724767140765,65.41724767140765,4102.996805257877,-20812.409624963126,-5092.636385584774
2025-06-30,116.91014107660298,116.91014107660298,116.91014107660298,8090.9468788667355,4102.996805257877,-2965.54726090673
2025-07-01,89.55879805354628,89.55879805354628,89.55879805354628,-26.394477250410503,8090.9468788667355,-3246.7931095813433
2025-07-02,78.83162029673576,78.83162029673576,78.83162029673576,-1756.9714106153572,-26.394477250410503,-3723.529058528746
2025-07-03,81.83561614311652,81.83561614311652,81.83561614311652,1484.7301067202327,-1756.9714106153572,-1529.5054677776636
2025-07-04,50.41178488023714,50.41178488023714,50.41178488023714,-2318.415153870992,1484.7301067202327,-1605.0738394078624
2025-07-05,15.10823444743371,15.10823444743371,15.10823444743371,-9525.993833256864,-2318.415153870992,7.271273693032136
2025-07-06,96.0652811251815,96.0652811251815,96.0652811251815,7768.01418562,-9525.993833256864,530.8451851733354
2025-07-07,68.29126722347151,68.29126722347151,68.29126722347151,-430.59767291967137,7768.01418562,-686.5183222247227
2025-07-08,73.6512881858336,73.6512881858336,73.6512881858336,1892.2927962542276,-430.59767291967137,-412.42014029548875
2025-07-09,77.67640522062173,77.67640522062173,77.67640522062173,-637.3436166652675,1892.2927962542276,-252.47331258833304
2025-07-10,82.45241515666656,82.45241515666656,82.45241515666656,-176.46041495900786,-637.3436166652675,-489.786244256796
2025-07-11,82.66968797550223,82.66968797550223,82.66968797550223,167.61447091555647,-176.46041495900786,-134.63915500157478
2025-07-12,79.65425257908771,79.65425257908771,79.65425257908771,-274.3388068203707,167.61447091555647,1187.025848775067
2025-07-13,78.63180552722808,78.63180552722808,78.63180552722808,-143.95841416775792,-274.3388068203707,56.744048805387465
2025-07-14,72.75142650903462,72.75142650903462,72.75142650903462,-2546.327836892811,-143.95841416775792,-245.50311747648962
2025-07-15,92.23136815873416,92.23136815873416,92.23136815873416,8141.6227135226845,-2546.327836892811,647.2582992761471
2025-07-16,86.9499236962695,86.9499236962695,86.9499236962695,-1521.334630002099,8141.6227135226845,520.9738687994569
2025-07-17,85.17542770834491,85.17542770834491,85.17542770834491,-1520.8350502214098,-1521.334630002099,328.9203494762566
2025-07-18,91.77387879435673,91.77387879435673,91.77387879435673,2209.6217756038154,-1520.8350502214098,620.6356787174365
